,TEAM,STATUS,PLAYER,POS.,CAP HIT,CAP %,YEAR,,,SALARY CAP,win%,avg_age,WIN%_GRP,POS_GRP,ID,ID,ID,ID,ID,Commas,,,team name on site,,
38,jax,active,Chapelle Russell,ILB,780000,0.37,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,,chi_2020,"chi_2020,",chi_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Chicago-Bears,"Chicago-Bears/cap/2020"")","chi_2020 =pd.read_html(""https://www.spotrac.com/nfl/Chicago-Bears/cap/2020"")"
39,jax,active,Luke Farrell,TE,749505,0.36,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,cin_2020,"cin_2020,",cin_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Cincinnati-Bengals,"Cincinnati-Bengals/cap/2020"")","cin_2020 =pd.read_html(""https://www.spotrac.com/nfl/Cincinnati-Bengals/cap/2020"")"
40,jax,active,Jay Tufele,DT,716699,0.34,2019,2020,2021,182500000,0.176,25.48,low_win%,d-line,jax_2019,jax_2020,jax_2021,,cle_2020,"cle_2020,",cle_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Cleveland-Browns,"Cleveland-Browns/cap/2020"")","cle_2020 =pd.read_html(""https://www.spotrac.com/nfl/Cleveland-Browns/cap/2020"")"
41,jax,active,Matthew Wright,K,563333,0.27,2019,2020,2021,182500000,0.176,25.48,low_win%,kicking,jax_2019,jax_2020,jax_2021,,dal_2020,"dal_2020,",dal_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Dallas-Cowboys,"Dallas-Cowboys/cap/2020"")","dal_2020 =pd.read_html(""https://www.spotrac.com/nfl/Dallas-Cowboys/cap/2020"")"
42,jax,active,K.C. McDermott,T,476663,0.23,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,,den_2020,"den_2020,",den_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Denver-Broncos,"Denver-Broncos/cap/2020"")","den_2020 =pd.read_html(""https://www.spotrac.com/nfl/Denver-Broncos/cap/2020"")"
43,jax,active,Laquon Treadwell,WR,472222,0.23,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,det_2020,"det_2020,",det_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Detroit-Lions,"Detroit-Lions/cap/2020"")","det_2020 =pd.read_html(""https://www.spotrac.com/nfl/Detroit-Lions/cap/2020"")"
44,jax,active,Jaydon Mickens,WR,357777,0.17,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,gb_2020,"gb_2020,",gb_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Green-Bay-Packers,"Green-Bay-Packers/cap/2020"")","gb_2020 =pd.read_html(""https://www.spotrac.com/nfl/Green-Bay-Packers/cap/2020"")"
45,jax,active,Ryquell Armstead,RB,141666,0.07,2019,2020,2021,182500000,0.176,25.48,low_win%,runner,jax_2019,jax_2020,jax_2021,,hou_2020,"hou_2020,",hou_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Houston-Texans,"Houston-Texans/cap/2020"")","hou_2020 =pd.read_html(""https://www.spotrac.com/nfl/Houston-Texans/cap/2020"")"
46,jax,active,JK Scott,P,102222,0.05,2019,2020,2021,182500000,0.176,25.48,low_win%,kicking,jax_2019,jax_2020,jax_2021,,ind_2020,"ind_2020,",ind_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Indianapolis-Colts,"Indianapolis-Colts/cap/2020"")","ind_2020 =pd.read_html(""https://www.spotrac.com/nfl/Indianapolis-Colts/cap/2020"")"
47,jax,active,Tyrell Adams,OLB,94444,0.05,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,,jax_2020,"jax_2020,",jax_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Jacksonville-Jaguars,"Jacksonville-Jaguars/cap/2020"")","jax_2020 =pd.read_html(""https://www.spotrac.com/nfl/Jacksonville-Jaguars/cap/2020"")"
48,jax,active,Brandon Rusnak,CB,94444,0.05,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,,kc_2020,"kc_2020,",kc_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Kansas-City-Chiefs,"Kansas-City-Chiefs/cap/2020"")","kc_2020 =pd.read_html(""https://www.spotrac.com/nfl/Kansas-City-Chiefs/cap/2020"")"
49,jax,active,Kahale Warring,TE,94444,0.05,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,lac_2020,"lac_2020,",lac_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Los-Angeles-Chargers,"Los-Angeles-Chargers/cap/2020"")","lac_2020 =pd.read_html(""https://www.spotrac.com/nfl/Los-Angeles-Chargers/cap/2020"")"
50,jax,active,Jamir Jones,LB,73332,0.04,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,,lar_2020,"lar_2020,",lar_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Los-Angeles-Rams,"Los-Angeles-Rams/cap/2020"")","lar_2020 =pd.read_html(""https://www.spotrac.com/nfl/Los-Angeles-Rams/cap/2020"")"
51,jax,active,Mekhi Sargent,RB,73332,0.04,2019,2020,2021,182500000,0.176,25.48,low_win%,runner,jax_2019,jax_2020,jax_2021,,lv_2020,"lv_2020,",lv_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Las-Vegas-Raiders,"Las-Vegas-Raiders/cap/2020"")","lv_2020 =pd.read_html(""https://www.spotrac.com/nfl/Las-Vegas-Raiders/cap/2020"")"
52,jax,active,Nathan Cottrell,RB,43333,0.02,2019,2020,2021,182500000,0.176,25.48,low_win%,runner,jax_2019,jax_2020,jax_2021,,mia_2020,"mia_2020,",mia_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Miami-Dolphins,"Miami-Dolphins/cap/2020"")","mia_2020 =pd.read_html(""https://www.spotrac.com/nfl/Miami-Dolphins/cap/2020"")"
53,jax,active,Tre'Vour Wallace-Simms,G,43333,0.02,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,,min_2020,"min_2020,",min_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Minnesota-Vikings,"Minnesota-Vikings/cap/2020"")","min_2020 =pd.read_html(""https://www.spotrac.com/nfl/Minnesota-Vikings/cap/2020"")"
54,jax,active,Joseph Charlton,P,36666,0.02,2019,2020,2021,182500000,0.176,25.48,low_win%,kicking,jax_2019,jax_2020,jax_2021,,ne_2020,"ne_2020,",ne_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-England-Patriots,"New-England-Patriots/cap/2020"")","ne_2020 =pd.read_html(""https://www.spotrac.com/nfl/New-England-Patriots/cap/2020"")"
