TEAM,STATUS,PLAYER,POS.,BASE SALARY,SIGNING BONUS,ROSTER BONUS,OPTION BONUS,WORKOUT BONUS,RESTRUC. BONUS,MISC.,DEAD CAP,CAP HIT,CAP %
arz,active,Greg Dortch,WR,"$129,999 ",-,-,-,-,-,-,-,"$129,999 ",0.07
arz,active,Kevin Peterson,CB,"$51,111 ",-,-,-,-,-,-,-,"$51,111 ",0.03
arz,active,David Wells,TE,"$36,666 ",-,-,-,-,-,-,-,"$36,666 ",0.02
arz,injured,DeAndre Hopkins,WR,"$4,750,000 ","$5,500,000 ",-,"$2,250,000 ",-,-,-,"($42,400,000)","$12,500,000 ",6.51
arz,injured,(Knee),,,,,,,,,,,
arz,injured,Maxx Williams,TE,"$2,550,000 ","$250,000 ","$408,824 ",-,-,-,-,"($3,050,000)","$3,208,823 ",1.67
arz,injured,(Knee-acl),,,,,,,,,,,
arz,injured,Justin Murray,G,"$1,750,000 ","$333,333 ","$191,176 ",-,-,-,-,"($1,666,667)","$2,274,509 ",1.18
arz,injured,(Back),,,,,,,,,,,
arz,injured,Robert Alford,CB,"$990,000 ",-,-,-,-,-,-,"($990,000)","$850,000 ",0.44
arz,injured,(Pectoral),,,,,,,,,,,
arz,injured,Kylie Fitts,LB,"$633,333 ",-,-,-,-,-,-,-,"$633,333 ",0.33
arz,injured,(Concussion),,,,,,,,,,,
arz,injured,James Wiggins,S,"$476,667 ",-,-,-,-,-,-,-,"$476,666 ",0.25
arz,injured,(Knee),,,,,,,,,,,
arz,injured,Jack Crawford,DE,"$565,000 ",-,-,-,-,-,-,"($565,000)","$465,000 ",0.24
arz,injured,(Undisclosed),,,,,,,,,,,
arz,injured,Andre Baccellia,WR,"$165,600 ",-,-,-,-,-,-,-,"$165,600 ",0.09
arz,injured,Jonathan Ledbetter,DE,"$165,600 ",-,-,-,-,-,-,-,"$165,600 ",0.09
arz,injured,Eric Smith,G,"$128,800 ",-,-,-,-,-,-,-,"$128,800 ",0.07
arz,injured,Danny Isidora,G,"$112,000 ",-,-,-,-,-,-,-,"$112,000 ",0.06
arz,injured,Javon Hagan,S,"$101,200 ",-,-,-,-,-,-,-,"$101,200 ",0.05
